id_encuestado,carrera,semestre,jornada,trabaja,promedio_actual,q01_horas_estudio,q02_planificacion,q03_entrega_tareas,q04_trabajo_equipo,q05_asistencia,q06_uso_biblioteca,q07_uso_plataformas,q08_consulta_tutorias,q09_disponibilidad_laboratorios,q10_calidad_internet,q11_claridad_docente,q12_puntualidad_docente,q13_retroalimentacion,q14_evaluacion_justa,q15_dificultad_cursos,q16_estres_academico,q17_equilibrio_vida_estudio,q18_satisfaccion_carrera,q19_intencion_continuar,q20_recomendaria_facultad
64,Ingeniería Electrónica,7,Matutina,No,62,2,3,2,3,3,2,4,3,3,2,1,3,5,4,3,3,3,4,2,4
65,Ingeniería Eléctrica,7,Matutina,No,80,4,4,3,5,2,2,3,2,3,4,3,4,2,3,3,3,4,4,3,4
66,Ingeniería Eléctrica,6,Matutina,No,66,1,3,4,3,3,3,3,4,1,4,2,3,3,4,2,3,5,2,4,3
67,Ingeniería Eléctrica,5,Vespertina,No,75,4,3,3,3,2,3,4,2,2,3,3,4,5,3,3,2,4,3,3,5
68,Ingeniería de Sistemas,7,Nocturna,No,60,2,3,3,3,5,1,4,3,2,2,3,4,3,5,2,4,2,4,4,3
69,Ingeniería de Sistemas,5,Matutina,No,51,2,2,2,2,2,3,3,2,4,2,4,4,2,3,4,2,3,4,4,3
70,Ingeniería Eléctrica,7,Vespertina,Sí,86,5,3,3,4,5,5,4,3,3,4,3,5,3,4,4,4,3,3,3,2
71,Ingeniería de Sistemas,7,Nocturna,No,80,2,3,5,4,4,3,3,2,4,3,4,3,2,4,3,3,4,3,4,4
72,Ingeniería de Sistemas,6,Vespertina,No,71,3,1,2,4,3,2,3,3,4,4,3,2,3,4,2,2,3,4,4,3
73,Ingeniería de Sistemas,7,Matutina,No,84,4,4,3,4,3,3,5,4,2,4,4,2,4,5,2,2,4,4,4,4
74,Ingeniería de Sistemas,6,Vespertina,No,73,3,3,3,3,3,3,3,1,4,4,2,4,3,4,4,3,3,3,3,3
75,Ingeniería de Sistemas,6,Vespertina,No,70,2,3,4,3,4,5,3,2,3,4,3,5,2,4,3,5,5,3,3,4
76,Ingeniería Electrónica,5,Matutina,No,72,3,4,3,2,2,2,5,4,2,2,4,4,4,3,3,3,3,2,3,3
77,Ingeniería Electrónica,6,Matutina,No,81,3,3,4,4,3,3,3,2,3,3,5,4,2,3,4,5,2,2,5,4
78,Ingeniería Electrónica,5,Matutina,No,75,4,3,3,2,3,3,5,2,4,4,4,5,4,4,3,4,4,3,2,3
79,Ingeniería Eléctrica,7,Matutina,Sí,82,2,4,3,2,3,3,3,1,4,4,4,3,3,3,4,4,2,4,4,5
80,Ingeniería Eléctrica,7,Nocturna,Sí,75,4,4,3,4,2,3,5,3,2,2,3,3,3,2,3,5,2,5,4,4
81,Ingeniería Eléctrica,5,Vespertina,Sí,70,3,3,2,3,3,2,2,1,3,1,3,3,4,3,3,4,3,3,4,2
82,Ingeniería de Sistemas,5,Nocturna,Sí,76,4,4,3,4,5,4,3,4,3,3,3,5,3,5,4,2,3,2,4,4
83,Ingeniería Electrónica,5,Matutina,No,63,3,2,5,2,3,4,5,4,4,4,3,4,1,3,3,2,3,3,5,5
84,Ingeniería de Sistemas,5,Matutina,No,75,3,3,3,3,3,2,3,2,3,3,3,3,3,4,4,2,2,3,3,3
85,Ingeniería de Sistemas,5,Vespertina,Sí,75,3,5,3,2,3,1,3,2,4,2,3,3,5,3,5,4,3,4,4,2
86,Ingeniería Eléctrica,7,Nocturna,Sí,71,4,2,3,2,4,4,5,3,3,1,5,3,4,3,3,3,2,3,3,4
87,Ingeniería Eléctrica,7,Vespertina,Sí,82,4,3,3,3,4,4,3,3,1,2,3,3,2,3,4,4,1,2,3,4
88,Ingeniería Electrónica,6,Vespertina,No,69,1,4,3,3,3,2,3,3,2,3,3,3,3,4,3,3,3,4,4,5
89,Ingeniería Eléctrica,6,Matutina,Sí,71,4,4,4,3,2,4,4,4,2,3,2,3,4,3,4,3,3,2,3,1
90,Ingeniería de Sistemas,6,Vespertina,No,78,3,2,5,3,4,2,2,3,1,3,2,5,4,4,5,2,4,4,4,4
91,Ingeniería Electrónica,7,Matutina,No,74,3,2,4,3,2,2,3,5,4,2,4,2,4,3,4,4,2,2,3,4
92,Ingeniería de Sistemas,5,Matutina,No,69,2,3,1,2,3,2,4,4,3,3,3,3,4,3,3,3,4,2,5,3
93,Ingeniería Eléctrica,6,Matutina,No,70,3,2,2,3,4,3,4,4,2,5,3,5,3,5,4,3,3,3,5,3
94,Ingeniería Electrónica,5,Nocturna,Sí,69,4,3,3,3,2,3,4,3,2,3,2,4,4,2,2,3,2,2,4,4
95,Ingeniería de Sistemas,6,Matutina,Sí,80,3,3,3,3,2,4,3,3,4,2,4,3,4,1,3,3,3,4,3,3
96,Ingeniería Eléctrica,7,Matutina,No,81,3,4,3,3,3,1,3,3,3,2,3,4,2,4,2,2,2,3,5,4
97,Ingeniería Electrónica,7,Matutina,Sí,65,1,1,3,1,3,3,3,3,3,4,3,3,3,4,4,4,3,2,5,5
98,Ingeniería Electrónica,6,Matutina,No,67,4,3,3,1,2,4,2,3,4,2,4,4,3,5,2,4,3,4,4,3
99,Ingeniería de Sistemas,6,Vespertina,No,80,3,4,4,5,3,3,4,4,3,2,4,4,3,5,4,3,3,4,3,4
100,Ingeniería Electrónica,5,Vespertina,No,69,4,2,2,4,3,2,3,2,4,4,4,4,5,3,2,3,5,3,3,4
101,Ingeniería de Sistemas,7,Matutina,No,86,3,5,5,3,5,4,5,2,2,3,4,5,4,3,2,4,3,5,3,5
102,Ingeniería de Sistemas,7,Matutina,Sí,77,2,2,3,5,3,3,4,3,3,2,5,5,2,2,3,3,3,3,5,4
103,Ingeniería Eléctrica,6,Matutina,No,66,3,4,5,2,3,4,4,3,4,1,4,4,3,5,2,2,5,3,3,3
104,Ingeniería Electrónica,7,Matutina,Sí,67,3,4,3,3,5,4,4,2,2,3,4,3,3,5,4,3,2,3,3,3
105,Ingeniería de Sistemas,6,Matutina,No,50,2,1,2,2,2,3,4,3,3,2,3,2,4,2,4,4,3,1,3,4
106,Ingeniería de Sistemas,5,Matutina,No,86,4,4,4,3,5,2,3,3,3,2,4,3,4,3,4,2,5,2,4,4
107,Ingeniería Eléctrica,5,Vespertina,Sí,79,1,2,4,4,3,2,5,4,4,2,3,3,3,4,4,3,4,3,4,5
108,Ingeniería Electrónica,5,Matutina,No,75,1,4,4,3,4,4,3,4,3,4,4,4,2,4,3,2,3,2,5,4
109,Ingeniería Electrónica,6,Matutina,Sí,71,4,4,2,4,3,3,3,2,5,3,4,3,2,4,2,3,3,4,4,4
110,Ingeniería Eléctrica,7,Vespertina,No,66,2,3,2,2,3,2,3,4,3,3,3,4,3,4,3,3,2,3,3,2
111,Ingeniería Eléctrica,7,Matutina,No,78,3,3,4,4,5,2,4,4,3,3,4,4,2,4,3,3,3,3,4,4
112,Ingeniería de Sistemas,5,Nocturna,Sí,75,4,2,2,3,4,3,4,5,3,3,3,4,3,5,4,4,1,2,4,2
113,Ingeniería Electrónica,7,Matutina,No,73,2,1,4,2,2,3,4,3,3,3,3,3,3,4,4,3,2,3,2,4
114,Ingeniería de Sistemas,6,Vespertina,Sí,82,3,4,4,3,3,4,4,2,4,2,3,3,2,4,2,3,1,3,3,3
115,Ingeniería de Sistemas,5,Matutina,No,76,3,3,2,2,2,2,2,3,3,4,4,2,4,4,2,3,3,4,3,2
116,Ingeniería de Sistemas,5,Nocturna,No,70,2,3,4,3,3,2,4,2,2,2,4,4,2,3,3,3,4,2,5,4
117,Ingeniería de Sistemas,7,Matutina,No,72,3,2,3,3,3,3,4,5,4,4,2,4,2,2,3,4,4,4,2,3
118,Ingeniería Eléctrica,7,Matutina,No,74,3,4,5,4,4,3,2,3,4,2,5,3,4,2,4,3,2,4,4,2
119,Ingeniería Electrónica,5,Nocturna,No,71,4,3,2,3,4,4,4,4,3,3,4,2,3,3,4,4,3,1,3,4
120,Ingeniería Eléctrica,5,Vespertina,No,69,4,3,2,4,3,3,3,3,3,1,5,5,3,2,4,3,3,3,4,5
121,Ingeniería de Sistemas,6,Vespertina,No,99,2,5,2,4,3,3,5,3,2,3,3,4,2,4,1,2,3,4,3,2
122,Ingeniería Eléctrica,5,Vespertina,Sí,68,2,2,2,2,4,3,4,2,2,1,3,4,4,3,3,3,3,4,2,4
123,Ingeniería de Sistemas,7,Vespertina,No,75,4,3,4,4,3,3,2,2,3,3,2,4,4,3,2,3,3,4,3,2
124,Ingeniería de Sistemas,7,Matutina,Sí,78,2,4,3,3,4,2,4,3,3,3,2,3,4,4,4,4,2,5,3,4
125,Ingeniería Eléctrica,5,Matutina,No,85,4,3,4,2,3,5,3,5,3,3,4,5,3,3,3,3,4,4,4,5
126,Ingeniería Eléctrica,7,Matutina,No,78,4,3,3,3,4,3,3,1,3,4,3,3,4,3,2,3,3,3,3,4
127,Ingeniería Eléctrica,6,Matutina,No,88,3,4,4,4,5,1,1,3,4,2,1,4,3,2,2,2,3,3,4,1
128,Ingeniería de Sistemas,5,Matutina,No,80,3,4,2,4,5,3,4,3,2,4,3,4,2,2,5,2,5,3,2,4
129,Ingeniería Eléctrica,5,Matutina,No,73,3,4,3,3,4,3,4,3,3,3,4,2,2,4,3,2,2,2,2,3
130,Ingeniería de Sistemas,5,Nocturna,Sí,88,4,3,2,3,5,2,2,3,2,2,3,3,3,4,2,2,2,4,4,3
131,Ingeniería de Sistemas,6,Vespertina,No,71,2,4,3,4,5,2,4,2,4,3,4,3,2,4,2,3,4,4,5,4
132,Ingeniería Electrónica,5,Matutina,No,64,3,3,3,2,3,4,3,5,2,3,3,4,2,3,2,3,4,4,2,5
133,Ingeniería de Sistemas,6,Nocturna,No,69,3,2,4,2,2,2,4,4,3,4,3,4,3,4,3,3,4,4,3,3
134,Ingeniería Electrónica,6,Nocturna,No,76,3,2,3,3,2,1,3,2,2,3,4,3,3,3,2,3,4,4,2,3
135,Ingeniería Electrónica,5,Vespertina,No,68,4,4,4,4,2,2,4,3,3,3,4,5,4,4,4,3,3,4,2,4
136,Ingeniería Eléctrica,5,Vespertina,Sí,61,2,2,3,4,2,4,1,2,2,2,2,4,3,3,4,4,3,3,2,4
137,Ingeniería de Sistemas,5,Matutina,Sí,68,3,3,1,3,3,3,4,4,4,2,4,3,4,3,3,4,2,5,2,3
138,Ingeniería Eléctrica,7,Nocturna,Sí,74,3,3,2,3,3,3,2,4,2,3,4,3,4,2,5,4,2,3,4,3
139,Ingeniería de Sistemas,5,Matutina,No,63,4,3,2,2,2,3,4,1,3,3,3,5,4,5,3,3,5,5,3,3
140,Ingeniería de Sistemas,5,Nocturna,Sí,76,3,3,3,4,2,3,4,4,2,2,4,4,2,3,4,4,2,1,4,2
141,Ingeniería de Sistemas,7,Matutina,No,83,3,4,4,4,4,5,3,2,3,2,5,3,3,3,4,3,2,5,3,4
142,Ingeniería Eléctrica,6,Matutina,No,77,4,2,2,4,3,2,2,3,3,3,4,4,3,3,4,4,3,3,3,2
143,Ingeniería Eléctrica,7,Matutina,No,86,5,5,4,4,5,3,3,3,3,1,4,3,5,3,2,3,2,4,4,4
144,Ingeniería de Sistemas,7,Matutina,Sí,61,2,3,4,2,2,3,3,3,2,4,3,4,2,4,4,4,2,3,2,3
145,Ingeniería Electrónica,7,Matutina,No,80,2,3,5,3,4,2,1,3,3,2,3,4,3,2,4,2,1,4,4,3
146,Ingeniería de Sistemas,5,Matutina,No,67,4,2,3,3,3,3,3,3,3,4,3,4,4,2,4,1,4,4,2,3
147,Ingeniería de Sistemas,5,Matutina,No,66,1,5,3,3,4,5,4,4,3,3,3,3,3,2,3,1,3,3,4,3
148,Ingeniería de Sistemas,7,Matutina,No,65,2,3,3,2,2,4,4,4,2,2,3,3,2,3,2,2,4,4,3,3
149,Ingeniería de Sistemas,5,Vespertina,No,69,4,2,4,4,4,3,4,4,4,3,3,4,2,3,4,1,5,4,3,4
150,Ingeniería de Sistemas,7,Matutina,No,76,3,2,3,4,4,4,4,4,4,2,3,4,3,4,3,2,3,4,3,3
151,Ingeniería Electrónica,5,Vespertina,No,85,2,4,4,3,4,4,3,3,3,5,1,4,3,4,2,3,4,5,4,2
152,Ingeniería de Sistemas,5,Matutina,No,79,3,3,1,5,3,4,4,3,3,2,5,3,2,3,4,3,3,5,4,4
153,Ingeniería Eléctrica,7,Vespertina,No,93,2,4,5,4,5,3,4,3,2,2,4,4,3,3,3,4,3,3,4,4
154,Ingeniería Eléctrica,6,Nocturna,Sí,60,1,2,2,1,3,5,3,3,3,2,2,3,2,5,3,4,3,2,3,4
155,Ingeniería Eléctrica,7,Vespertina,No,76,3,2,3,4,5,2,2,4,2,2,3,3,4,3,3,3,3,4,4,4
156,Ingeniería de Sistemas,7,Nocturna,No,63,3,3,3,3,4,3,5,2,4,2,3,4,4,5,3,2,3,2,4,3
157,Ingeniería Eléctrica,6,Matutina,Sí,63,2,2,3,2,2,3,4,1,3,3,2,5,3,3,4,3,1,3,4,3
158,Ingeniería Eléctrica,5,Matutina,No,73,3,3,4,4,3,3,3,2,5,3,3,3,5,3,3,3,4,4,5,4
159,Ingeniería de Sistemas,5,Vespertina,No,61,2,1,3,3,2,2,3,2,2,2,3,3,2,5,4,2,4,4,5,3
160,Ingeniería de Sistemas,5,Matutina,No,62,2,3,2,3,4,4,5,4,2,4,3,5,5,4,2,2,4,3,3,4
161,Ingeniería Electrónica,7,Matutina,Sí,79,3,3,3,3,2,3,3,4,3,2,4,4,4,3,3,4,3,2,3,3
162,Ingeniería de Sistemas,6,Nocturna,Sí,65,2,4,2,1,1,3,4,3,3,4,3,4,2,2,2,4,2,3,3,2
163,Ingeniería de Sistemas,5,Matutina,No,85,5,2,4,3,3,2,3,5,4,3,5,2,2,2,2,3,3,4,3,4
164,Ingeniería Eléctrica,6,Matutina,No,57,2,3,2,2,2,3,3,3,3,1,3,2,3,2,4,3,3,4,4,3
165,Ingeniería Eléctrica,5,Matutina,No,65,2,2,2,2,3,3,2,5,3,2,3,4,5,2,4,4,3,3,3,3
166,Ingeniería Eléctrica,6,Matutina,No,56,2,4,2,2,2,4,5,3,3,3,1,4,3,4,3,3,3,4,3,5
167,Ingeniería de Sistemas,6,Matutina,No,56,2,2,3,3,3,3,5,2,4,4,2,2,3,3,4,2,3,3,4,3
168,Ingeniería de Sistemas,5,Matutina,No,84,5,3,3,2,5,3,3,4,2,3,4,4,4,2,3,4,3,5,3,4
169,Ingeniería Eléctrica,5,Nocturna,No,72,2,1,3,3,2,3,5,4,4,3,4,3,3,1,4,4,3,3,3,4
170,Ingeniería de Sistemas,6,Nocturna,Sí,75,2,3,4,3,4,4,4,3,3,1,3,3,4,3,3,2,2,4,5,3
171,Ingeniería Eléctrica,6,Vespertina,Sí,64,3,2,1,4,3,1,3,4,4,4,3,4,3,4,2,3,4,3,4,3
172,Ingeniería de Sistemas,6,Nocturna,No,75,2,5,2,3,3,4,3,2,2,2,2,3,3,2,5,3,2,3,4,2
173,Ingeniería de Sistemas,6,Vespertina,No,71,4,3,2,5,3,2,4,3,3,3,4,3,4,2,3,5,3,3,3,2
174,Ingeniería Electrónica,5,Matutina,No,71,3,2,3,2,2,3,3,3,3,2,3,2,4,2,3,2,4,3,3,4
175,Ingeniería Eléctrica,5,Nocturna,Sí,60,3,1,2,1,3,2,3,3,2,2,4,5,3,4,3,5,1,3,2,1
176,Ingeniería Electrónica,7,Matutina,Sí,98,2,4,5,4,5,4,4,2,1,4,3,4,2,3,4,4,2,5,3,2
177,Ingeniería Electrónica,5,Nocturna,Sí,67,3,1,1,1,3,2,5,2,2,2,4,3,4,3,2,2,1,3,3,3
178,Ingeniería Electrónica,6,Matutina,No,69,4,2,2,3,2,3,1,4,4,2,2,5,3,3,1,3,3,4,2,2
179,Ingeniería Eléctrica,6,Vespertina,Sí,70,4,2,3,3,4,3,3,2,4,1,4,2,4,3,4,4,1,2,4,3
180,Ingeniería Eléctrica,7,Matutina,Sí,81,4,5,2,4,4,1,4,4,2,4,2,2,3,3,3,4,3,4,4,4
181,Ingeniería Electrónica,6,Vespertina,No,74,3,1,3,2,5,4,4,4,2,4,5,4,5,3,3,3,4,3,4,4
182,Ingeniería de Sistemas,7,Matutina,Sí,65,2,2,3,3,3,2,5,3,3,4,4,5,4,3,5,4,3,4,3,4
183,Ingeniería Electrónica,6,Matutina,No,71,2,3,4,2,4,4,4,4,5,3,3,3,3,4,2,2,4,4,3,4
184,Ingeniería Eléctrica,6,Nocturna,Sí,92,5,3,4,3,4,3,5,2,2,2,2,5,5,4,4,4,2,3,3,2
185,Ingeniería de Sistemas,7,Matutina,No,78,4,3,3,4,3,3,3,4,5,2,4,3,4,2,4,2,3,3,4,3
186,Ingeniería de Sistemas,7,Nocturna,Sí,67,4,3,2,2,4,3,3,4,3,3,3,4,4,3,4,4,1,3,5,2
187,Ingeniería Electrónica,5,Nocturna,Sí,62,1,1,4,2,3,3,3,3,2,3,3,2,4,3,3,2,4,4,4,3
188,Ingeniería Electrónica,6,Matutina,No,77,2,3,3,3,3,2,5,5,2,4,3,4,3,3,4,3,3,3,3,2
189,Ingeniería de Sistemas,6,Nocturna,Sí,82,4,3,3,1,3,4,3,3,2,3,3,3,5,4,3,4,3,4,2,4
190,Ingeniería de Sistemas,5,Matutina,No,70,2,3,3,3,4,4,3,4,3,2,3,3,4,3,2,3,4,4,4,4
191,Ingeniería de Sistemas,5,Vespertina,Sí,82,3,3,3,2,4,4,2,4,2,4,4,4,3,5,2,4,3,4,5,3
192,Ingeniería Electrónica,7,Matutina,No,72,3,3,3,3,4,3,3,3,2,3,3,3,3,3,3,4,2,3,5,2
193,Ingeniería Electrónica,5,Nocturna,Sí,51,3,3,2,1,1,3,3,3,4,4,3,4,3,3,4,3,5,2,3,3
194,Ingeniería Eléctrica,6,Matutina,No,80,4,2,4,3,3,3,3,4,3,3,3,4,4,3,2,3,3,3,3,5
195,Ingeniería Eléctrica,5,Matutina,No,62,2,1,1,1,3,3,2,3,4,4,2,3,2,4,4,2,3,3,2,4
196,Ingeniería Eléctrica,6,Matutina,Sí,57,1,3,1,2,3,2,3,3,3,1,2,4,4,3,3,4,3,1,2,3
197,Ingeniería Electrónica,6,Matutina,No,77,3,3,5,2,4,2,4,3,4,3,2,5,4,4,3,3,3,3,5,4
198,Ingeniería Electrónica,6,Matutina,Sí,67,4,4,2,3,2,4,3,2,4,1,2,3,3,3,2,3,3,4,3,4
199,Ingeniería de Sistemas,6,Matutina,No,74,4,3,4,4,3,2,5,3,3,4,3,3,4,2,3,3,3,2,5,4
200,Ingeniería Electrónica,7,Vespertina,Sí,70,2,3,4,3,3,2,3,3,3,3,4,4,2,5,4,4,3,5,2,3
201,Ingeniería de Sistemas,5,Matutina,No,76,3,2,3,3,4,2,3,3,2,5,2,3,2,5,4,2,4,4,4,3
